発電所,発電所ユニット,統合PIDコード,PIDコード,PID名,単位
上越火力発電所,共通,J__AZZZ=00D01777,00D01777,No.2ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ低,
上越火力発電所,共通,J__AZZZ=00D01778,00D01778,No.2ｱﾝﾓﾆｱﾀﾝｸ温度上昇防止散水弁開,
上越火力発電所,共通,J__AZZZ=00D01779,00D01779,No.2ｱﾝﾓﾆｱ気化器温度高,
上越火力発電所,共通,J__AZZZ=00D01780,00D01780,No.2ｱﾝﾓﾆｱ気化器温度低,
上越火力発電所,共通,J__AZZZ=00D01783,00D01783,No.2ｱﾝﾓﾆｱ気化器圧力高ﾄﾘｯﾌﾟ,
上越火力発電所,共通,J__AZZZ=00D01785,00D01785,No.2ｱﾝﾓﾆｱ気化器計器電源喪失,
上越火力発電所,共通,J__AZZZ=00D01786,00D01786,No.2ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ極高,
上越火力発電所,共通,J__AZZZ=00D01787,00D01787,No.2ｱﾝﾓﾆｱﾀﾝｸ出口遮断弁異常閉,
上越火力発電所,共通,J__AZZZ=00D07002,00D07002,ｱﾝﾓﾆｱ密度,kg/m3N
上越火力発電所,共通,J__AZZZ=00D07003,00D07003,ｱﾝﾓﾆｱ比重,m3N/kg
上越火力発電所,共通,J__AZZZ=00J01634,00J01634,ｱﾝﾓﾆｱ制御盤(常用)DC地絡,
上越火力発電所,共通,J__AZZZ=00J01635,00J01635,ｱﾝﾓﾆｱ制御盤(予備)DC地絡,
上越火力発電所,共通,J__AZZZ=00J01733,00J01733,ｱﾝﾓﾆｱ装置希釈槽排水ﾎﾟﾝﾌﾟ地絡,
上越火力発電所,共通,J__AZZZ=00X01747,00X01747,ｱﾝﾓﾆｱ装置希釈槽排水ﾎﾟﾝﾌﾟ電気故障,
