INTEGRATION_PID_CODE,MEAS_DATETIME,KKS_UNIT_CODE,PID_CODE,PID_NAME,SI_UNIT,LOWER_LIMIT_NUMBER,UPPER_LIMIT_NUMBER,OFF_STATUS_NAME,ON_STATUS_NAME,DATA_CLASS_CODE,MEAS_NAME,DB_NAME,PLANT_CODE,UNIT_NAME,PRELIM_CODE,ALARM_FLAG,DECIMAL_POINT_NUMBER,MEAS_VALUE,QUALITY_NUMBER,CORR_PID_NAME,SDR_SI_UNIT,SDR_XFORM_COEF,CORR_COEF,CORR_MEAS_VALUE,CORR_LOWER_LIMIT_NUMBER,CORR_UPPER_LIMIT_NUMBER,REG_PROJ_NAME,DELETE_FLAG,VALUE_CLASS_NAME,INPUT_TYPE_CLASS,DRAWING_NUMBER,STAT_CALC_VALUE_CLASS,ADDITION_GRANULARITY_CLASS,FUEL_TYPE_CLASS,VALUE_TYPE_CLASS,FETCH_POINT_TEXT,VALUE_RANGE_TEXT,VALUE_OUTPUT_COND_TEXT,INFLUX_LINK_NUMBER,INFLUX_LINK_FLAG,PLANT_LINK_ORDER_FLAG,PLANT_LINK_FLAG,CREATE_AT,UPDATE_AT,PROCESS_AT,PROCESS_ID,JST_TIME
J__AZZZ=00D00038,2025-04-19 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1894.7265625,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-19 00:00:50.394 +0900,,2025-04-19 00:02:00.846 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-19 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-20 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1855.46875,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-20 00:00:49.738 +0900,,2025-04-20 00:02:00.659 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-20 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-21 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1808.59375,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-21 00:00:50.239 +0900,,2025-04-21 00:02:01.231 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-21 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-22 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1773.4375,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-22 00:00:49.995 +0900,,2025-04-22 00:02:00.631 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-22 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-23 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1730.859375,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-23 00:00:50.331 +0900,,2025-04-23 00:02:00.969 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-23 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-24 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1702.34375,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-24 00:00:50.519 +0900,,2025-04-24 00:02:01.369 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-24 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-25 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1665.0390625,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-25 00:00:49.824 +0900,,2025-04-25 00:02:01.018 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-25 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-26 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1631.4453125,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-26 00:00:50.280 +0900,,2025-04-26 00:02:01.190 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-26 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-27 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1614.0625,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-27 00:00:50.337 +0900,,2025-04-27 00:02:01.711 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-27 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-28 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1595.1171875,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-28 00:00:50.680 +0900,,2025-04-28 00:02:01.165 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-28 00:00:00.000 +0900
